Date,Person_ID,Age,Gender,Sleep Start Time,Sleep End Time,Total Sleep Hours,Sleep Quality,Exercise (mins/day),Caffeine Intake (mg),Screen Time Before Bed (mins),Work Hours (hrs/day),Productivity Score,Mood Score,Stress Level
2024-04-12,1860,32,Other,23.33,4.61,5.28,3,86,87,116,8.80892009394567,8,3,6
2024-11-04,1769,41,Female,21.02,2.43,5.41,5,32,21,88,6.329833121584335,10,3,7
2024-08-31,2528,20,Male,22.1,3.45,5.35,7,17,88,59,8.506305742764315,10,9,10
2024-02-22,8041,37,Other,23.1,6.65,7.55,8,46,34,80,6.070239852800135,8,4,2
2024-02-23,4843,46,Other,21.42,4.17,6.75,10,61,269,94,11.374993880184935,8,7,9
2024-07-08,7439,38,Male,21.77,6.41,8.64,10,88,251,123,6.207993456180347,1,9,7
2024-01-09,6463,18,Other,22.83,6.87,8.03,3,34,288,122,4.592357213872723,7,10,9
2024-01-28,7278,26,Female,20.78,3.14,6.35,8,36,98,171,9.100459770841706,3,1,3
2024-04-10,9110,31,Other,20.07,3.37,7.31,7,26,206,14,4.887126566494651,3,7,1
2024-02-21,6116,49,Female,20.37,3.89,7.52,4,12,159,70,6.318011623310144,6,2,10
2024-02-14,3693,45,Female,21.17,3.29,6.12,7,88,230,128,5.8234813003355335,9,4,9
2024-09-15,8526,23,Other,20.6,4.56,7.96,10,43,151,58,6.585623456166042,8,9,4
2024-04-22,2853,29,Female,22.02,6.08,8.06,5,55,80,112,11.812919646661223,6,7,5
2024-08-11,8392,18,Other,21.02,4.17,7.15,10,31,197,159,8.741573791035147,7,8,1
2024-09-11,5389,41,Male,23.55,7.22,7.67,1,72,123,69,9.566502454327054,3,4,4
2024-12-11,2986,36,Other,23.67,7.62,7.95,7,81,128,10,6.728530808402068,9,2,7
2024-10-24,1262,33,Female,23.93,7.02,7.08,1,1,253,139,8.46634762885678,7,9,9
2024-04-08,3255,20,Female,23.53,7.24,7.71,1,71,103,83,8.645492971491638,9,3,9
2024-12-14,3961,35,Female,21.57,5.33,7.76,9,32,67,32,7.951149721467477,4,8,8
2024-05-14,2218,34,Male,23.18,6.23,7.04,6,21,237,157,11.784084438019566,3,6,8
2024-10-09,1225,38,Female,20.45,4.29,7.84,1,68,146,3,4.194527731451631,1,1,5
2024-01-06,2060,41,Male,20.75,6.08,9.33,3,59,115,159,10.809093372134855,3,2,9
2024-08-10,7709,20,Female,23.82,7.39,7.58,6,22,126,154,6.36232470735151,10,1,8
2024-10-25,8343,56,Male,21.9,4.5,6.6,2,24,12,59,8.090739190887502,9,4,4
2024-11-16,7655,33,Female,23.83,6.02,6.19,2,65,287,85,6.625221339797855,10,6,10
2024-02-27,8509,59,Female,22.88,6.07,7.19,5,7,52,59,5.726568219974745,5,7,4
2024-09-18,1876,49,Female,22.57,6.25,7.69,4,15,268,113,8.130402786409562,3,1,8
2024-11-14,6177,43,Male,21.87,2.77,4.9,9,11,128,57,11.321709821011844,2,6,9
2024-08-24,4343,56,Other,20.35,4.5,8.15,3,75,153,143,5.269171581139928,6,9,5
2024-02-16,3141,22,Female,21.78,6.32,8.53,4,32,253,100,7.1880378751789875,10,6,5
2024-04-09,3849,48,Female,21.3,4.32,7.02,1,68,3,15,4.564549979203439,7,2,1
2024-06-08,1851,41,Female,22.98,4.13,5.14,3,42,100,11,7.088821102406194,1,8,10
2024-02-12,8723,46,Male,23.5,5.89,6.39,3,34,214,80,9.245781083045937,10,10,10
2024-04-24,9808,24,Female,20.82,4.46,7.64,8,35,216,20,11.74064441216198,4,10,5
2024-07-10,3786,52,Female,20.63,4.04,7.4,7,61,223,36,5.908774878322721,7,7,9
2024-12-20,5968,47,Male,20.32,4.95,8.63,6,12,186,18,7.113613429873305,9,3,9
2024-10-10,1717,48,Other,21.77,2.68,4.92,5,11,24,179,9.380147648616308,4,5,7
2024-05-23,2062,59,Female,22.22,5.46,7.25,5,34,214,74,4.936536131420847,9,10,10
